qc_id,objectid_1,join_count,target_fid,objectid,layer,name,elev,invert_el,max_depth,uwagi,id_well,uwagi2,uwagi22,id,h_m,uwagi3,elevk,invert_elk,gid,icon_url
"205","216","1","215",216,właz okrągły - siec kanalizacyjna (punkt),K117,224.45,222.81,"0",,"216",,,"216",1.64,,0,0,"126601",./0.png
"206","217","1","216",217,właz okrągły - siec kanalizacyjna (punkt),K4A,223.62,222.02,"0",,"217",,,"217",1.6,,0,0,"126600",./0.png
"207","218","1","217",218,właz okrągły - siec kanalizacyjna (punkt),K14,232.38,229.9,"0",,"218",,,"218",2.48,,,,,./0.png
"208","219","1","218",219,właz okrągły - siec kanalizacyjna (punkt),K15A,232.76,230.34,"0",,"219",,,"219",2.42,,0,0,"96141",./0.png
"209","221","1","220",221,właz okrągły - siec kanalizacyjna (punkt),K19A,234.35,231.49,"0",,"221",,,"221",2.86,,,,,./0.png
"210","222","1","221",222,właz okrągły - siec kanalizacyjna (punkt),K18A,233.69,231.04,"0",,"222",,,"222",2.65,,,,,./0.png
"211","223","1","222",223,właz okrągły - siec kanalizacyjna (punkt),K17,233.26,230.53,"0",,"223",,,"223",2.73,,,,,./0.png
"212","224","1","223",224,właz okrągły - siec kanalizacyjna (punkt),K16A,233.05,230.43,"0",,"224",,,"224",2.62,,0,0,"96140",./0.png
"213","234","1","233",0,,K300,215.32,213.19,"0",,"0",,,"234",2.13,,,,,./0.png
"214","235","1","234",0,,K301,211.58,208.66,"0",,"0",,,"235",2.92,,210.58,208.64,"16039",./0.png
"215","236","1","235",0,,K302,209.21,207.57,"0",,"0",,,"236",1.64,,,,,./0.png
"216","237","1","236",0,,K303,209.14,207.3,"0",,"0",,,"237",1.84,,209.03,207.29,"16038",./0.png
"217","238","0","237",0,,K310,234.12,230.79,"0",,"0",,,"238",3.33,PRZESUNIETO,233.97,230.85,"24960",./0.png
"218","239","0","238",0,,K311,234.38,230.98,"0",,"0",+brak rzednej dna,,"239",3.4,PRZESUNIETO,234.45,231.03,"24962",./0.png
"219","240","0","239",0,,K312,233.88,231.22,"0",,"0",+brak rzednych,,"240",2.66,PRZESUNIETO,233.88,231.23,"24963",./0.png
"220","241","0","240",0,,K313,233.74,231.33,"0",,"0",,,"241",2.41,PRZESUNIETO,233.74,231.37,"24964",./0.png
"221","242","0","241",0,,K314,233.62,231.45,"0",,"0",,,"242",2.17,PRZESUNIETO,0,0,"65294",./0.png
"222","243","0","242",0,,K315,233.84,231.71,"0",,"0",+brak rzednych,,"243",2.13,PRZESUNIETO,233.66,231.45,"24965",./0.png
"223","244","0","243",0,,K316,233.93,231.59,"0",,"0",+brak rzednych,,"244",2.34,PRZESUNIETO,233.92,231.58,"11390",./0.png
"224","245","0","244",0,,K318,234.98,232.29,"0",,"0",+brak rzednych,,"245",2.69,PRZESUNIETO,234.66,232.19,"24966",./0.png
"225","246","0","245",0,,K319,235.06,232.56,"0",,"0",+brak rzednych,,"246",2.5,PRZESUNIETO,0,0,"65297",./0.png
"226","247","0","246",0,,K320,235.22,232.93,"0",,"0",,,"247",2.29,PRZESUNIETO,235.15,233,"24967",./0.png
"227","248","0","247",0,,K51,233.64,230.58,"0",,"0",+brak rzednych,,"248",3.06,PRZESUNIETO,233.31,230.24,"24961",./0.png
